courses.title_web_fundamentals,"Web Development Theory"
courses.title_coding_fundamentals,"Coding Fundamentals"
courses.title_deep_learning,"Deep Learning"
courses.title_react,React
courses.title_vr_development,"VR Developement"
courses.title_ai_development,"AI Development"
courses.title_robotics,Robotics
courses.title_neuro_marketing,"Neuro Marketing"
courses.title_digital_graphics,"Digital Graphics"
courses.title_build_website,"Build website from scratch"
courses.title_building_apps,"Building Android Apps"
courses.title_game_development,"2D Game Development"
courses.title_blockchain_basics,"Blockchain basics"
courses.title_crypto_intro,"Introduction to Crypto and Cryptocurrencies"
courses.title_ethereum_basics,"Ethereum Basics"
courses.title_smart_contracts,"Smart contract development & Solidity"
courses.title_ethereum_development,"Ethereum Development: Truffle and Open Zeppelin"
courses.title,"What problems does BitDegree solve?"
courses.subtitle,"We are establishing BitDegree on a solid ground of 29 million existing user base of Hostinger and 000webhost - loyal, web passionate, learning and innovation open worldwide community. Our vision at Hostinger is to enable millions of people around the globe to unlock the power of Internet and give them the empowerment to learn, create and grow."
courses.free,FREE
courses.new,NEW
courses.coming_soon,"Coming Soon"
courses.enrollment_date,"Enrollment date"
courses.lesson_number,"Lesson :number"
home.title,"BitDegree ICO - Revolutionizing education with blockchain"
home.meta_description,"Join upcoming BitDegree ICO (Initial Coin Offerings). BitDegree - The world's first blockchain based free education platform with token scholarships & talent networking. Be the first to know about BitDegree Foundation Token Distribution & ICO event updates."
home.meta_keywords,"ICO, initial coin offerings, bitdegree, ethereum, bitcoin, token, tokens, blockchain, learning foundation, scholarship, free education"
home.header_title,"Revolutionizing education with blockchain"
home.header_subtitle,"The world's first blockchain-powered online education platform with token scholarships &amp; tech talent acquisition"
home.incentives,"Smart incentives"
home.moocs,"The world's best MOOCs"
home.ethereum,"Powered by the Ethereum"
home.decentralized,Decentralized
home.bitdegree_description_1,"<b>BitDegree</b> platform will offer students the best online courses with clear and transparent blockchain-based reward system and achievement tracking. It is also a unique tool for businesses to recruit tech talent and shape global education to their needs."
home.bitdegree_description_2,"Think about it as Coursera and HackerRank merged together, powered by decentralized blockchain technology."
home.starting_point_alt,"29 000 000 users is our starting point"
home.starting_point_headline,"29 000 000 users - our starting point"
home.starting_point_description,"We are establishing BitDegree on a solid ground of 29 million existing user base of Hostinger and 000webhost - loyal, web passionate, learning and open to innovation worldwide community. ""Our vision at Hostinger is to enable millions of people around the globe to unlock the power of Internet by empowering them to learn, create and grow independently regardless of racial, social and geo statuses."""
home.starting_point_logo_000webhost,"000webhost logo"
home.starting_point_logo_hostinger,"Hostinger logo"
home.problems_headline,"What problems does BitDegree solve?"
home.problems_reason_1_alt,"Education is flawed"
home.problems_reason_1,"1. Education is flawed globally"
home.problems_description_1,"Universities and higher education institutions are universally failing to fulfil their mission - to teach their students well. The gap between the needs of employers and student knowledge already exists and is widening. BitDegree innovation is a possibility for businesses to initiate and maintain dialogue with upcoming talent and reward them for achievements through smart-incentives. From the student’s perspective it means getting paid to learn."
home.problems_reason_2_alt,"Help recruiting talents"
home.problems_reason_2,"2. Helps recruiting tech talent"
home.problems_description_2,"It is estimated that the global recruitment market is worth over $200 billion and $4,000 is the average amount spent by a U.S. company to fill an open position. Tech companies are actively competing to constantly raise and maintain their employer profiles, offering perks unimaginable to other industries. Our solution here is to provide global employer branding to millions of BitDegree students by sponsoring smart-incentives."
home.problems_reason_3_alt,"Tech students are valued customers"
home.problems_reason_3,"3. Tech students are valued customers"
home.problems_description_3,"With a traditional client acquisition model, tech companies like Hostinger, DigitalOcean or NordVPN spend huge amounts of money to acquire new customers. By accepting decentralized BitDegree tokens, they will be able to attract new flow of technophile users in a cost-effective way. Students who earned scholarships are qualified customers with a proven interest in learning technology & will to spend on various products & services."
home.moocs_headline,"Growth of MOOCs"
home.moocs_subtitle,"The popularity of MOOCs has been growing steadily"
home.moocs_description,"The popularity of MOOCs (Massive Open Online Courses) has been growing steadily since their first appearance. This resulted in more and more courses offered every year. The amount of MOOCs should continue to grow due to increasing demand."
home.mvp_title,"How does it look from the student's perspective?"
home.mvp_subtitle,"Start now &amp; earn BitDegree tokens as a scholarship &amp reward.<br>Take the world's best courses online. Be hired by world-changing companies."
home.mvp_image_alt,"Try Bitdegree MVP"
